Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$19.20,0.01,0.052%,12432278822.00,United States,,21606368,Transportation,Air Freight/Delivery Services
ABMD,ABIOMED Inc. Common Stock,$332.04,-11.10,-3.235%,15068052565.00,United States,,327501,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$170.66,-1.04,-0.606%,101781454535.00,United States,2020,2293051,Capital Goods,Industrial Machinery/Components
ACGL,Arch Capital Group Ltd. Common Stock,$41.82,-0.22,-0.523%,16562352318.00,Bermuda,,2141103,Finance,Property-Casualty Insurers
ADP,Automatic Data Processing Inc. Common Stock,$224.49,1.55,0.695%,94734780000.00,United States,,1609724,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,$317.61,0.51,0.161%,69826698566.00,United States,,1061230,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$84.71,0.00,0.00%,42376290927.00,United States,,2897591,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$162.50,0.61,0.377%,45128547425.00,United States,2021,6394007,Technology,EDP Services
AKAM,Akamai Technologies Inc. Common Stock,$105.46,0.75,0.716%,17172035032.00,United States,1999,963838,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$624.37,-7.43,-1.176%,49410503333.00,United States,2001,987072,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$159.56,-2.58,-1.591%,18963337895.00,United States,2004,1466193,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$136.65,0.63,0.463%,123385179525.00,United States,1972,5713445,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$120.23,-0.93,-0.768%,145191005005.00,United States,,43289591,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$206.97,-0.20,-0.097%,117528401500.00,United States,1983,2589074,Health Care,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS Inc. Common Stock,$379.58,4.59,1.224%,33119312680.00,United States,1996,321538,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$98.25,0.35,0.358%,36583371289.00,United States,2021,1049279,Technology,EDP Services
ARGX,argenx SE American Depositary Shares,$301.96,21.13,7.524%,15555475741.00,Netherlands,2017,236771,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARVL,Arrival Ordinary Shares,$16.53,0.36,2.226%,10255730067.00,Luxembourg,,1103911,Capital Goods,Auto Manufacturing
ATVI,Activision Blizzard Inc. Common Stock,$78.19,-0.69,-0.875%,60809023315.00,United States,,8369705,Technology,Computer Software: Prepackaged Software
AXON,Axon Enterprise Inc. Common Stock,$179.96,5.32,3.046%,11818996273.00,United States,,342484,Consumer Non-Durables,Military/Government/Technical
AZN,AstraZeneca PLC American Depositary Shares,$62.38,0.19,0.306%,193270194135.00,United Kingdom,,3951283,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,$156.69,1.78,1.149%,10490267641.00,United States,1994,454279,Technology,EDP Services
BGNE,BeiGene Ltd. American Depositary Shares,$357.72,-6.86,-1.882%,33385285006.00,Cayman Islands,2016,145220,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,$162.24,-6.47,-3.835%,56469039432.00,China,2005,5110068,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$266.68,1.81,0.683%,39173348436.00,United States,,947605,Health Care,Biotechnology: Pharmaceutical Preparations
BILI,Bilibili Inc. American Depositary Shares,$73.30,-3.15,-4.12%,28067701679.00,China,2018,2714596,Technology,EDP Services
BKNG,Booking Holdings Inc. Common Stock,$2420.78,-8.99,-0.37%,99396841896.00,United States,,216450,Transportation,Other Consumer Services
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$79.23,1.03,1.317%,14544047004.00,United States,1999,2090429,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$278.73,-5.25,-1.849%,67596750867.00,Germany,2019,1458810,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BRKR,Bruker Corporation Common Stock,$80.30,0.51,0.639%,12126905839.00,United States,,471599,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,$59.15,0.06,0.102%,16660786297.00,United States,2020,487238,Technology,Retail: Computer Software & Peripheral Equipment
BZ,KANZHUN LIMITED American Depository Shares,$35.10,-0.90,-2.50%,14355156617.00,China,2021,3409117,,
CAR,Avis Budget Group Inc. Common Stock,$173.31,1.55,0.902%,11532486048.00,United States,,1335417,Miscellaneous,Rental/Leasing Companies
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$52.65,-0.43,-0.81%,24005653723.00,United Kingdom,,425369,Consumer Non-Durables,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,$173.11,4.19,2.48%,47975878510.00,United States,,1392015,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$186.65,0.71,0.382%,25663528356.00,United States,2013,502873,Technology,EDP Services
